Wall time,Step,Value
1709581985.417114,0,0.10100000351667404
1709581997.4824371,1,0.9218000173568726
1709582009.424704,2,0.9370999932289124
1709582021.346362,3,0.9426000118255615
1709582033.016959,4,0.8984000086784363
1709582045.659751,5,0.8361999988555908
1709582057.9685838,6,0.9514999985694885
1709582069.704503,7,0.9442999958992004
1709582081.357389,8,0.7847999930381775
1709582093.262182,9,0.9452999830245972
1709582105.262669,10,0.7314000129699707
1709582116.9530292,11,0.8187000155448914
1709582128.506238,12,0.9611999988555908
1709582140.120495,13,0.9537000060081482
1709582151.835087,14,0.8754000067710876
1709582163.783438,15,0.9609000086784363
1709582176.460534,16,0.8971999883651733
1709582188.99011,17,0.6836000084877014
1709582201.953742,18,0.9514999985694885
1709582214.928566,19,0.9391000270843506
1709582227.8956642,20,0.8772000074386597
1709582240.801439,21,0.9430999755859375
1709582253.690519,22,0.8654000163078308
1709582266.7712388,23,0.9609000086784363
1709582279.419245,24,0.9620000123977661
1709582291.597152,25,0.9646000266075134
1709582303.645445,26,0.9539999961853027
1709582315.7811468,27,0.9467999935150146
1709582327.908771,28,0.8008999824523926
1709582340.238742,29,0.9549000263214111
1709582353.016041,30,0.9555000066757202
1709582365.688823,31,0.7713000178337097
1709582378.264138,32,0.9498000144958496
1709582390.556382,33,0.9546999931335449
1709582402.533309,34,0.9627000093460083
1709582414.254981,35,0.9625999927520752
1709582425.7537038,36,0.9642999768257141
1709582437.379019,37,0.8256000280380249
1709582449.332341,38,0.9620000123977661
1709582461.409209,39,0.9503999948501587
1709582473.957338,40,0.9643999934196472
1709582485.855802,41,0.9584000110626221
1709582497.655231,42,0.9648000001907349
1709582509.498059,43,0.7720999717712402
1709582521.568497,44,0.9646000266075134
1709582533.347594,45,0.9656999707221985
1709582545.4954329,46,0.8999000191688538
1709582557.243577,47,0.9519000053405762
1709582569.1721332,48,0.9257000088691711
1709582581.0233312,49,0.9441999793052673
1709582592.884376,50,0.9585000276565552
1709582604.954287,51,0.9661999940872192
1709582616.7930229,52,0.9466000199317932
1709582628.573457,53,0.9648000001907349
1709582640.668032,54,0.9599999785423279
1709582652.041127,55,0.9355000257492065
1709582663.371996,56,0.955299973487854
1709582674.777266,57,0.906000018119812
1709582686.1348531,58,0.8708000183105469
1709582697.378051,59,0.9653000235557556
1709582708.615366,60,0.9207000136375427
1709582719.9206111,61,0.9467999935150146
1709582731.269762,62,0.963699996471405
1709582743.137284,63,0.9634000062942505
1709582754.7984798,64,0.9557999968528748
1709582766.834304,65,0.9650999903678894
1709582779.97218,66,0.9509999752044678
1709582791.380817,67,0.9639000296592712
